GO No.,GO Date,GO Description,Issued by,Gazette Week Date,Pg No
4097/7/5/128-Udyog/2004,2005-11-21,,Sanjeev Chopra (Secretary),2006-01-07,4
2157/VIII/285/2001,2005-11-10,,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,2
2157/VIII/285-/2001,2006-11-10,श्रमायुक्‍त उत्‍तरांचल को अपने पद के अतिरिक्‍त श्रम कल्‍याण आयुक्‍त नियुक्‍त करते है,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-07,2
"25,26,27 /7-B/36(1)/low/2005",2005-12-16,Transfer Civil Nyayalaya Roshnabad to Roorkee,U.C.Dhyani (Secretary),2006-01-07,13
"25,26,27 /7-B/36(1)/low/2005",2005-12-16,Transfer Civil Nyayalaya Roshnabad to Roorkee,U.C.Dhyani (Secretary),2006-01-07,13
706/X-2-005(9)/21/2005,2005-12-12,,Dr.Ranveer Singh(Secretary),2006-01-07,7
1786/XXVIII-2-2005,2005-12-28,Name Change Km. Sangeeta Kathait,S.Raju(Secretary),2006-01-07,15
4097/7/5/128-Udyog/2004,2005-11-21,,Sanjeev Chopra (Secretary),2006-01-07,4
4097/7/5/128-Udyog/2004,2005-11-21,,Sanjeev Chopra (Secretary),2006-01-07,4
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
"25,26,27 /7-B/36(1)/low/2005",2005-12-16,Transfer Civil Nyayalaya Roshnabad to Roorkee,U.C.Dhyani (Secretary),2006-01-07,13
62/18(1)/2005,2005-12-28,Rajya Matsya Palan Vikas Abhikaran.,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,3
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
62/18(1)/2005,2005-12-28,Rajya Matsya Palan Vikas Abhikaran.,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,3
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
2157/VIII/285/2001,2005-11-10,,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,2
2157/VIII/285-/2001,2006-11-10,श्रमायुक्‍त उत्‍तरांचल को अपने पद के अतिरिक्‍त श्रम कल्‍याण आयुक्‍त नियुक्‍त करते है,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-07,2
706/X-2-005(9)/21/2005,2005-12-12,,Dr.Ranveer Singh(Secretary),2006-01-07,7
1786/XXVIII-2-2005,2005-12-28,Name Change Km. Sangeeta Kathait,S.Raju(Secretary),2006-01-07,15
706/X-2-005(9)/21/2005,2005-12-12,,Dr.Ranveer Singh(Secretary),2006-01-07,7
62/18(1)/2005,2005-12-28,Rajya Matsya Palan Vikas Abhikaran.,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,3
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
706/X-2-005(9)/21/2005,2005-12-12,,Dr.Ranveer Singh(Secretary),2006-01-07,7
2157/VIII/285/2001,2005-11-10,,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-07,2
2157/VIII/285-/2001,2006-11-10,श्रमायुक्‍त उत्‍तरांचल को अपने पद के अतिरिक्‍त श्रम कल्‍याण आयुक्‍त नियुक्‍त करते है,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-07,2
556/1(49)/4/XXVI/2005,2005-11-25,Regarding Bhagirathi Nadi Ghati Vikas,Amrendra Sinha(Secretary),2006-01-07,5
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
2428/XX-1/426/2001,2005-12-27,Land Aquisition Act 1984.,S.K.Das(PRINCIPAL SECRETARY),2006-01-07,2
3361/XX(1)/109/2004,2005-12-21,Public Service Commission Examination 2004,Manjul Kumar Joshi(Additional Secretary),2006-01-07,14
"25,26,27 /7-B/36(1)/low/2005",2005-12-16,Transfer Civil Nyayalaya Roshnabad to Roorkee,U.C.Dhyani (Secretary),2006-01-07,13
15/8/XIII/2005-3(05)/2001,2005-11-25,Regarding Appointment,Om Prakash(Secretary),2006-01-07,4
73/8,2005-12-08,"Vacant Land Bacchi Gour Trust, Nagar Palika Parishad Nainital",Rakesh Kumar (Collector Nainital),2006-01-14,2
5182/30-1-2005/18(15)/2002,2005-12-05,Regarding Promotion Deputy Collector,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,18
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
"2726,2725 ,2727 /Form-Anu",2005-10-28,,S.Ramaswami(Commissioner Tax Officer),2006-01-14,1
"2726,2725 ,2727 /Form-Anu",2005-10-28,,S.Ramaswami(Commissioner Tax Officer),2006-01-14,1
392/XXXVIII-3-2005-763/2005,2005-12-16,Regarding Promotion .,S.Raju(Secretary),2006-01-14,25
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
392/XXXVIII-3-2005-763/2005,2005-12-16,Regarding Promotion .,S.Raju(Secretary),2006-01-14,25
183/up-Nirvachan/2005,2005-12-12,Panchayat Election Uttarkashi,T.R.Bhatt(District Magistrate),2006-01-14,1
73/8,2005-12-08,"Vacant Land Bacchi Gour Trust, Nagar Palika Parishad Nainital",Rakesh Kumar (Collector Nainital),2006-01-14,2
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
5182/30-1-2005/18(15)/2002,2005-12-05,Regarding Promotion Deputy Collector,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,18
5182/30-1-2005/18(15)/2002,2005-12-05,Regarding Promotion Deputy Collector,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,18
5182/30-1-2005/18(15)/2002,2005-12-05,Regarding Promotion Deputy Collector,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,18
"2726,2725 ,2727 /Form-Anu",2005-10-28,,S.Ramaswami(Commissioner Tax Officer),2006-01-14,1
183/up-Nirvachan/2005,2005-12-12,Panchayat Election Uttarkashi,T.R.Bhatt(District Magistrate),2006-01-14,1
1553/1/VIII/39/2005,2005-12-12,Regarding Dehradun Institute Management Committee,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
31/No.E-36(1)/2005,2005-11-25,"Shri Jagmohan Singh Rangad,Advocate Appoint to Notary Pratap Nagar Tehri Garhwal",U.C.Dhyani (Secretary),2006-01-14,23
31/No.E-36(1)/2005,2005-11-25,"Shri Jagmohan Singh Rangad,Advocate Appoint to Notary Pratap Nagar Tehri Garhwal",U.C.Dhyani (Secretary),2006-01-14,23
401/X-I-2005-4(5)/2005,2005-12-20,Regarding Promotion,Kishan Nath (Additional Secretary),2006-01-14,27
392/XXXVIII-3-2005-763/2005,2005-12-16,Regarding Promotion .,S.Raju(Secretary),2006-01-14,25
183/up-Nirvachan/2005,2005-12-12,Panchayat Election Uttarkashi,T.R.Bhatt(District Magistrate),2006-01-14,1
"2726,2725 ,2727 /Form-Anu",2005-10-28,,S.Ramaswami(Commissioner Tax Officer),2006-01-14,1
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
31/No.E-36(1)/2005,2005-11-25,"Shri Jagmohan Singh Rangad,Advocate Appoint to Notary Pratap Nagar Tehri Garhwal",U.C.Dhyani (Secretary),2006-01-14,23
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
73/8,2005-12-08,"Vacant Land Bacchi Gour Trust, Nagar Palika Parishad Nainital",Rakesh Kumar (Collector Nainital),2006-01-14,2
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
73/8,2005-12-08,"Vacant Land Bacchi Gour Trust, Nagar Palika Parishad Nainital",Rakesh Kumar (Collector Nainital),2006-01-14,2
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
5182/30-1-2005/18(15)/2002,2005-12-05,Regarding Promotion Deputy Collector,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,18
4175/11-2005-1(430)/03,2005-11-26,Promotion to post of EE(civil) to SE (Civil),N.Ravi Shankar(Secretary),2006-01-14,24
1553/1/VIII/39/2005,2005-12-12,Regarding Dehradun Institute Management Committee,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
401/X-I-2005-4(5)/2005,2005-12-20,Regarding Promotion,Kishan Nath (Additional Secretary),2006-01-14,27
392/XXXVIII-3-2005-763/2005,2005-12-16,Regarding Promotion .,S.Raju(Secretary),2006-01-14,25
401/X-I-2005-4(5)/2005,2005-12-20,Regarding Promotion,Kishan Nath (Additional Secretary),2006-01-14,27
73/8,2005-12-08,"Vacant Land Bacchi Gour Trust, Nagar Palika Parishad Nainital",Rakesh Kumar (Collector Nainital),2006-01-14,2
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
401/X-I-2005-4(5)/2005,2005-12-20,Regarding Promotion,Kishan Nath (Additional Secretary),2006-01-14,27
4175/11-2005-1(430)/03,2005-11-26,Promotion to post of EE(civil) to SE (Civil),N.Ravi Shankar(Secretary),2006-01-14,24
1475/XXVII/(8)/Vanijya Kar,2005-12-17,Promotion to post of Deputy Commissioner,Indu Kumar Pande(PRINCIPAL SECRETARY),2006-01-14,22
1553/1/VIII/39/2005,2005-12-12,Regarding Dehradun Institute Management Committee,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
183/up-Nirvachan/2005,2005-12-12,Panchayat Election Uttarkashi,T.R.Bhatt(District Magistrate),2006-01-14,1
3250/XX(1)/355/IPS/2005,2005-12-07,Retirement shri Ram Chandra Sharma IPs,S.K.Das(PRINCIPAL SECRETARY),2006-01-14,19
5605/30-1/2005,2005-12-09,Regarding Retirement,N.S.Napalchyal(PRINCIPAL SECRETARY),2006-01-14,19
3186/XX/(1)-28/PPS/2005,2005-12-01,Promotion to shir Pramod Kumar,Manjul Kumar Joshi(Additional Secretary),2006-01-14,26
31/No.E-36(1)/2005,2005-11-25,"Shri Jagmohan Singh Rangad,Advocate Appoint to Notary Pratap Nagar Tehri Garhwal",U.C.Dhyani (Secretary),2006-01-14,23
4175/11-2005-1(430)/03,2005-11-26,Promotion to post of EE(civil) to SE (Civil),N.Ravi Shankar(Secretary),2006-01-14,24
211/XX-2/109/Exam-2004,2007-02-28,High School/Intermediate Exam-2007,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-21,63
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
3274/Form-Anu,2005-12-12,Misplace Form C/F,B.B.Pande(Commissioner Tax Officer),2006-01-21,10
3274/Form-Anu,2005-12-12,Misplace Form C/F,B.B.Pande(Commissioner Tax Officer),2006-01-21,10
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
211/XX-2/109/Exam-2004,2007-02-28,High School/Intermediate Exam-2007,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-21,63
147 -173/UHC/Admin/2005,2006-12-07,Regarding Transfer and Posted,V.K.Maheshwari(Registrar General),2006-01-21,7
178 to 183/UHC/Admin/2003,2005-12-23,Regarding Appeal Authority,V.K.Maheshwari(Registrar General),2006-01-21,8
147 -173/UHC/Admin/2005,2006-12-07,Regarding Transfer and Posted,V.K.Maheshwari(Registrar General),2006-01-21,7
178 to 183/UHC/Admin/2003,2005-12-23,Regarding Appeal Authority,V.K.Maheshwari(Registrar General),2006-01-21,8
211/XX-2/109/Exam-2004,2007-02-28,High School/Intermediate Exam-2007,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-21,63
211/XX-2/109/Exam-2004,2007-02-28,High School/Intermediate Exam-2007,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-21,63
3274/Form-Anu,2005-12-12,Misplace Form C/F,B.B.Pande(Commissioner Tax Officer),2006-01-21,10
3274/Form-Anu,2005-12-12,Misplace Form C/F,B.B.Pande(Commissioner Tax Officer),2006-01-21,10
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
147 -173/UHC/Admin/2005,2006-12-07,Regarding Transfer and Posted,V.K.Maheshwari(Registrar General),2006-01-21,7
178 to 183/UHC/Admin/2003,2005-12-23,Regarding Appeal Authority,V.K.Maheshwari(Registrar General),2006-01-21,8
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
228,2005-12-01,Nagar Palika Parishad Jaspur,Mohd.Umar (President),2006-01-21,3
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
211/XX-2/109/Exam-2004,2007-02-28,High School/Intermediate Exam-2007,Nrip Singh Napalchiyal(PRINCIPAL SECRETARY),2006-01-21,63
"4619,4639 /II-2005-01(430)/2003",2005-12-22,Promotion to the Post of SE (Civil),N.Ravi Shankar(Secretary),2006-01-21,31
147 -173/UHC/Admin/2005,2006-12-07,Regarding Transfer and Posted,V.K.Maheshwari(Registrar General),2006-01-21,7
178 to 183/UHC/Admin/2003,2005-12-23,Regarding Appeal Authority,V.K.Maheshwari(Registrar General),2006-01-21,8
2568/XX(3)-55/2003,2005-12-22,Shri N.S.Dhanik Addl.District and Session Judge IV Fast Track Court Dehradun,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
2568/XX(3)/55/CBI/2003,2005-12-22,Regarding Fast Track Court Dehradun.,S.K.Das(PRINCIPAL SECRETARY),2006-01-21,30
"4619,4639 /II-2005-01(430)/2003",2005-12-22,Promotion to the Post of SE (Civil),N.Ravi Shankar(Secretary),2006-01-21,31
147 -173/UHC/Admin/2005,2006-12-07,Regarding Transfer and Posted,V.K.Maheshwari(Registrar General),2006-01-21,7
178 to 183/UHC/Admin/2003,2005-12-23,Regarding Appeal Authority,V.K.Maheshwari(Registrar General),2006-01-21,8
"1505,1506 /XXVII/8(vat)/2005",2005-12-26,Uttaranchal Value Added tax 2005.,Radha Raturi(Secretary),2006-01-21,31
147 -173/UHC/Admin/2005,2006-12-07,Regarding Transfer and Posted,V.K.Maheshwari(Registrar General),2006-01-21,7
178 to 183/UHC/Admin/2003,2005-12-23,Regarding Appeal Authority,V.K.Maheshwari(Registrar General),2006-01-21,8
